Hinglish_dialog_wo_disease,Overall_Summary
"Patient: Doctor, mujhe kuch hafte se arm pain ho raha hai. Maine bahut si dawai try ki hai lekin theek nahi ho raha. Mujhe bahut darr lag raha hai. 
Doctor: Mai samajh sakta hun, aapko bahut helpless feel hona chahiye. Kya aapko hath ya ungliyon mein bhi dard hai?
Patient: Haan, mere hath mein bhi dard hai.
Doctor: Kya koi kalai mein bhi dard hai?
Patient: Haan, mujhe kalai mein bhi dard hai.
Doctor: Aapko shayad <MASK> ho sakta hai.","The patient is experiencing arm pain for several weeks and has tried multiple medicines without relief. The doctor asks about other symptoms, including hand and finger pain and wrist pain, and suggests the possibility of De Quervain disease."
"Patient: Doctor, mujhe Hip mein dard ho raha hai. Isse meri gati par prabhav pad gaya hai. Ye kyun ho raha hai?
Doctor: Oh! ye bahut bura lag raha hai. Aur jaanne ke liye, kya aapko Jangh mein bhi dard hai?
Patient: Haan Doctor, mujhe Jangh mein bhi dard hai.
Doctor: Kya aapko Kamar dard bhi ho raha hai?
Patient: Haan Doctor. Mere peeche jalan ki tarah hai.
Doctor: Main aapki baat samajh raha hoon. Kya aapko Saari body mein dard hai?
Patient: Haan.
Doctor: Kya aapko movement mein koi problem hai?
Patient: Haan, hai.
Doctor: Shayad aapko <MASK> ho sakta hai.","The patient has been experiencing hip pain, reduced range of motion, groin pain, burning sensation in the back, ache all over, and problems with movement. The doctor suspects that the patient might have a fracture of the pelvis."
"Patient: Good morning doctor, mujhe low back pain hai. Mai chahta hu issko jyada severe na ho. Please ise turant treat karein.
Doctor: Main yahaan aapki madad karne ke liye hoon. Theek hai, kya aapko hip pain hai?
Patient: Exactly, mujhe hip pain mein problem hoti hai.
Doctor: Kya aapko leg pain feel hota hai?
Patient: Correct, mujhe leg pain hai.
Doctor: Aapke lakshan batate hai ki aapko <MASK> hai.","The conversation is between a patient who is suffering from low back pain and a doctor who is trying to diagnose the ailment. The patient mentions that the patient are also experiencing hip and leg pain. The doctor suggests that the symptoms suggest that the patient may have ankylosing spondylitis, which is a type of arthritis that affects the spine and joints. The conversation does not go into further detail about the treatment or management of the disease."
"Patient: Hello Doctor, mujhe vomiting ho rahi hai. 
Doctor: Vomiting ho sakti hai. Lekin, kya aapne kabhi Skin rash notice kiya hai?
Patient: Kripya dekhein aur mujhe batayein ki kya vo hai ya nahi? $S31_1_34.jpg$ .
Doctor: OK, maine notice kiya hai. Kya aapko Skin itching bhi hai?
Patient: Haan Doctor, mujhe Skin itching hai. Mujhe samajh nahi aa raha ki ye sab kyun ho raha hai.
Doctor: Achchha, Skin itching bhi ho rahi hai. Fir, kya aapne Scrotum ki sujan ko notice kiya hai?
Patient: Haan.
Doctor: Pehle hi batana chahiye tha aapko. Kya aapke saath Skin lesion bhi hai?
Patient: Haan Doctor, mere saath Skin lesion hai. Mujhe bahut dard ho raha hai.
Doctor: Aapke symptoms ke anusar aapko shayad <MASK> ho sakta hai.","The conversation between the patient and the doctor revolves around the patient's symptoms of vomiting, skin rash, itching of skin, swelling of scrotum, and skin lesion. The doctor suspects that the patient might be suffering from Acariasis based on these symptoms."
"Patient: Hi Doctor, mujhe aankh mein dard kyun ho raha hai. Lagta hai mein ise aur bardasht nahi kar sakti, kya aap mujhe iski wajah bata sakte hain?
Doctor: Mujhe tumhe takleef mein nahi dekh sakti, chalo hum iski wajah dhoond lete hain. Mujhe check karne do, kya tumhe aankh mein khujli hai?
Patient: Haan, mujhe hai woh.
Doctor: Samajh sakti hoon kitni jyada pareshani hogi. Kya tumhe Paresthesia hai?
Patient: Haan, mujhe hai woh.
Doctor: Tumhare symptoms ke basis par tumhe <MASK> hai.","The conversation between the patient and doctor revolves around the pain in the patient's eye, which is accompanied by itchiness and paresthesia. The doctor asks some questions to determine the cause of the symptoms and eventually diagnoses the patient with Endophthalmitis."
"Patient: Hi doctor, mere baby boy ko Naak bandi ki samasya hai. In dino, uski neend iski wajah se disturb ho rahi hai. Mujhe uske liye bahut chinta ho rahi hai. Please help.
Doctor: I understand your concern. Bacche ki pareshani dekhna bahut mushkil hota hai humare liye. Uski bhar gayi naak use pareshan kar sakti hai. Mujhe uske swasthya ke bare mein kuch aur sawal puchne hain taaki uske lakshano ke bare mein behtar samajh aa sake. Kya usko Dast ki bhi samasya hai?
Patient: Haan doctor.
Doctor: Kya usko Skin rash bhi hai?
Patient: Is $S31_3_7.jpg$ ko dekho.
Doctor: Mujhe dekhe, ye rash hai. Kya usko Skin sujan bhi hai?
Patient: Sach hi hai, doctor. Mereko Skin sujan se bhi pareshani ho rahi hai.
Doctor: Uske lakshano se lag raha hai ki wo deal kar raha hai <MASK> ke sath.",The conversation is about a worried parent seeking help for the patient's baby boy's nasal congestion which is affecting the patient's sleep. The doctor asks further questions to determine if there are any other symptoms present and identifies that the baby is dealing with a diaper rash. The disease identified is diaper rash and the conversation falls under group 12.
"Patient: Hello! doctor. Please dekhiye mera shoulder, $S31_1_5.jpg$. Mujhe kya problem hai? Doctor: Lagta hai ki aapko mites bite hue hain. Bataiye, kya aap vomiting kar rahe hain? Patient: Haan. Doctor: Aapko ho sakta hai <MASK>","The patient visits the doctor with a skin rash on the patient's shoulder. The doctor suspects mite bites and asks if the patient has been vomiting. Upon confirmation, the doctor diagnoses acariasis, a type of parasitic infection caused by mites."
"Patient: Doctor, muje aksar seizures ho rahe hain. Meri family isse pareshan hai. Isski wajah kya hai? 
Doctor: Kitne time se ho raha hai? Kya tumhe khaansi hai? 
Patient: Haan. 
Doctor: Kya tum depression se struggle kar rahe ho? 
Patient: Haan, mujhe depression ki samasya hai. 
Doctor: Kya tumhe gale mein dard hai? 
Patient: Thoda bahut mehsoos hota hai. 
Doctor: Aur tumhe koi kamzori mehsus ho rahi hai? 
Patient: Haan. 
Doctor: Tumhe <MASK> hai.","The patient is experiencing frequent seizures and is concerned about the patient's cause. The doctor asks some questions about the patient's medical history, including coughing, depression, sore throat, and weakness. Based on these symptoms, the doctor diagnoses the patient with conversion disorder."
"Patient: Doctor, mujhe ulti aa rahi hai. Mujhe gale aur seeney mein bechaini mehsoos hoti hai, mujhe kya ho sakta hai. 
Doctor: Main aapki baat samajh raha hoon. Gale mein pareshani ki wajah se aapko aise bechaini ka ehsaas hota hai. Kya aapko sar mein dard hai?
Patient: Haan, mujhe bahut tez dard ho raha hai.
Doctor: Aapko shayad <MASK> ka shikayat ho sakti hai.","The patient is experiencing nausea and discomfort around the patient's throat and chest, as well as a splitting headache. The doctor suspects that the patient may have a concussion, which could be causing these symptoms."
"Patient: Doctor, mujhe ghabrahat ho rahi hai. Mujhe kuch pareshani hai. Kripya $S205_3_8.jpg$ par nazar daalein. Doctor: Kya aapko ghutne mein dard hai? Patient: Haan, mujhe ghutne mein dard hai. Doctor: Kya aapko pair mein bhi dard hai? Patient: Haan, mujhe pair mein bhi dard hai. Doctor: Kya aapko ghutno mein sakhti ya kasavat hai? Patient: Haan. Doctor: Kya aapko kisi movement mein koi problem hai? Patient: Haan Doctor, mujhe movement mein problem hai. Doctor: Mujhe lagta hai aapko <MASK> ho gaya hai.","In this conversation, the patient expresses the patient's concern about knee swelling and pain. The doctor asks additional questions about the symptoms, such as leg pain, stiffness or tightness, and problems with movement. Based on the information gathered, the doctor diagnoses the patient with Chondromalacia of the patella."
